Date,Open,High,Low,Close,Volume,Trade
2013-04-12,2476.32,2489.12,2460.18,2462.11,399172.79,4042804.84
2013-04-15,2453.97,2461.67,2430.15,2436.82,465397.35,4408484.25
2013-04-16,2419.51,2461.05,2416.62,2459.59,552806.14,5378325.71
2013-04-17,2457.88,2465.20,2437.34,2458.47,446921.63,4680083.05
2013-04-18,2440.71,2478.41,2434.73,2464.85,428607.08,4627013.63
2013-04-19,2469.95,2542.45,2469.32,2533.83,755208.76,7672367.51
2013-04-22,2525.11,2539.05,2518.26,2530.67,625118.82,6302702.39
2013-04-23,2532.20,2532.20,2448.20,2449.47,606539.83,6157615.92
2013-04-24,2452.78,2511.20,2446.59,2495.58,630509.16,6218942.05
2013-04-25,2486.86,2505.48,2456.57,2467.88,605579.26,5989128.60
2013-04-26,2477.72,2488.59,2439.80,2447.31,471233.79,4635198.67
2013-05-02,2434.60,2453.75,2423.08,2449.64,470160.90,4720044.85
2013-05-03,2457.54,2521.12,2457.54,2492.91,623300.92,6326704.13
2013-05-06,2502.98,2533.86,2500.46,2525.98,604187.80,6176795.03
2013-05-07,2519.36,2539.30,2507.76,2529.94,544906.44,5924494.95
2013-05-08,2542.27,2562.01,2531.25,2542.80,595542.94,6030914.76
2013-05-09,2542.37,2543.30,2507.79,2527.79,602401.43,6443829.25
2013-05-10,2519.52,2546.98,2515.16,2540.84,488167.27,5089669.12
2013-05-13,2542.41,2547.60,2516.73,2530.77,540921.45,5515509.35
2013-05-14,2526.00,2526.15,2479.87,2493.34,548800.61,5614457.24
2013-05-15,2493.97,2507.43,2491.93,2506.93,441896.60,4757858.71
2013-05-16,2501.12,2553.06,2487.76,2552.71,707961.80,7683043.33
2013-05-17,2550.45,2598.71,2547.78,2592.05,818508.03,8359936.82
2013-05-20,2597.15,2627.62,2590.05,2609.61,863378.02,9405941.35
2013-05-21,2607.39,2617.40,2594.25,2614.85,715059.92,7583781.68
2013-05-22,2613.41,2630.07,2603.75,2618.03,741918.16,7822413.00
2013-05-23,2604.93,2624.08,2579.35,2582.85,848253.70,8135990.48
2013-05-24,2591.42,2608.35,2572.88,2597.23,607396.71,6283123.51
2013-05-27,2593.52,2611.97,2589.74,2599.59,641950.82,6670165.20
2013-05-28,2600.63,2644.36,2585.90,2644.36,841961.11,8675673.70
2013-05-29,2648.93,2661.23,2640.88,2642.56,792777.11,8195384.93
2013-05-30,2633.96,2647.44,2623.58,2634.32,701463.65,7104506.27
2013-05-31,2638.71,2645.57,2604.75,2606.43,625285.32,6590443.52
2013-06-03,2605.97,2625.94,2596.05,2602.62,597744.69,6300870.66
2013-06-04,2600.50,2600.50,2556.06,2565.67,663157.50,6313941.81
2013-06-05,2565.33,2570.03,2545.19,2560.54,456371.92,4736705.74
2013-06-06,2552.82,2557.68,2525.31,2527.84,524965.27,5444811.16
2013-06-07,2526.91,2538.89,2475.69,2484.16,610308.92,6136617.37
2013-06-13,2448.72,2448.72,2375.20,2399.94,697300.68,6408159.64
2013-06-14,2404.42,2420.36,2396.49,2416.77,559645.34,5368677.99
2013-06-17,2422.76,2427.53,2394.39,2403.84,503957.09,5198375.73
2013-06-18,2413.09,2424.20,2393.32,2418.74,486303.80,4879208.86
2013-06-19,2408.28,2408.28,2366.35,2400.76,543462.60,5297999.05
2013-06-20,2386.10,2386.10,2320.23,2321.47,552010.19,5217173.50
2013-06-21,2283.15,2332.84,2269.57,2317.39,587057.97,5348613.32
2013-06-24,2308.07,2308.07,2164.32,2171.21,865972.63,7373193.22
2013-06-25,2146.05,2169.21,2023.17,2165.42,1075548.77,8709039.72
2013-06-26,2170.33,2181.02,2131.86,2168.30,792564.28,6729843.10
2013-06-27,2172.85,2200.21,2153.18,2160.74,754067.51,6292708.15
2013-06-28,2149.03,2227.46,2139.37,2200.64,794513.25,6410604.95
2013-07-01,2187.09,2213.97,2166.35,2213.32,577262.28,5187473.41
2013-07-02,2211.80,2226.11,2191.80,2221.98,618388.48,5963290.21
2013-07-03,2211.04,2211.04,2169.14,2203.83,658360.22,5953676.08
2013-07-04,2187.18,2245.91,2176.08,2221.98,725811.46,6718937.91
2013-07-05,2227.35,2252.03,2225.05,2226.85,618217.73,5842440.19
2013-07-08,2194.42,2205.21,2162.19,2163.62,547824.95,4928825.34
